person_id,entry_time,exit_time,section_A_in,section_A_out,section_B_in,section_B_out,section_C_in,section_C_out,gender,age,,total_time,A_time,B_time,C_time
,,,,,,,,,,,,,,,
1,0:59:21,,,,,,0:59:47,1:02:35,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:02:48
2,0:59:22,1:03:27,,,,,,,female,40-59,,0:04:05,0:00:00,0:00:00,0:00:00
3,0:59:22,1:01:31,,,,,,,male,20-39,,0:02:08,0:00:00,0:00:00,0:00:00
4,0:59:23,,,,,,1:04:29,1:04:29,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:01
5,0:59:23,,,,1:03:58,,1:02:45,1:02:46,male,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:01
6,0:59:24,1:02:05,,,0:59:41,1:00:16,,,male,60+,,0:02:41,0:00:00,0:00:35,0:00:00
7,0:59:24,,,,,,1:04:23,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
8,0:59:25,,,,,,,,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
9,0:59:25,1:03:15,0:59:41,1:01:23,,,,,female,60+,,0:03:49,0:01:42,0:00:00,0:00:00
10,0:59:26,1:02:10,,,0:59:41,1:00:08,,,male,60+,,0:02:44,0:00:00,0:00:27,0:00:00
11,0:59:26,,,,0:59:41,,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
12,0:59:27,,1:01:25,1:02:09,,,1:04:37,1:04:39,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:43,0:00:00,0:00:02
13,0:59:28,1:04:43,,,,,,,male,60+,,0:05:15,0:00:00,0:00:00,0:00:00
14,0:59:28,,,,,,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:00:00
15,0:59:29,,0:59:41,,,,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
