person_id,entry_time,exit_time,section_A_in,section_A_out,section_B_in,section_B_out,section_C_in,section_C_out,gender,age,total_time,A_time,B_time,C_time
,,,,,,,,,,,,,,
1,23:19:10,23:24:32,,,,,23:19:30,23:21:40,male,60+,322,0,0,130
2,23:19:10,23:20:44,23:20:26,,,,,,female,40-59,94,0,0,0
3,23:19:11,23:22:18,,,,,23:21:10,23:21:36,male,20-39,187,0,0,26
4,23:19:11,23:22:15,23:20:41,,,,23:19:23,23:20:24,male,60+,184,0,0,61
5,23:19:12,23:21:13,,,23:19:23,23:19:52,,,male,60+,121,0,29,0
6,23:19:12,23:25:27,,,,,23:24:25,23:24:15,male,60+,375,0,0,0
7,23:19:12,23:21:17,,,23:19:53,23:19:54,,,male,60+,125,0,1,0
8,23:19:13,23:27:51,,,23:25:24,23:26:53,23:21:50,23:21:51,male,60+,518,0,89,1
9,23:19:13,23:30:06,,,23:29:41,,,,male,60+,653,0,0,0
10,23:19:13,23:20:47,23:19:23,,,,,,female,60+,94,0,0,0
11,23:19:14,23:31:06,,,23:19:23,23:29:45,,,female,60+,712,0,622,0
12,23:19:14,23:31:46,,,23:29:39,23:30:02,,,male,60+,752,0,23,0
13,23:19:15,23:22:21,,,,,,,male,60+,186,0,0,0
14,23:19:15,23:21:22,,,,,,,female,20-39,127,0,0,0
15,23:19:15,23:21:45,,,,,23:20:16,23:21:06,male,60+,150,0,0,50
16,23:19:16,23:22:16,,,23:20:55,23:21:56,,,female,60+,180,0,61,0
17,23:19:16,23:23:19,23:20:13,23:22:26,,,,,male,60+,243,133,0,0
18,23:19:16,23:27:47,,,23:27:14,23:27:25,,,female,60+,511,0,11,0
19,23:19:17,23:30:42,23:19:23,23:29:03,,,23:29:46,23:30:19,male,20-39,685,580,0,33
20,23:19:17,23:22:49,,,23:19:23,,,,male,60+,212,0,0,0
21,23:19:18,23:24:42,23:19:23,23:20:05,,,23:24:16,,male,60+,324,42,0,0
22,23:19:18,23:27:59,,,23:25:19,23:26:54,23:20:09,23:20:13,male,60+,521,0,95,4
23,23:19:18,23:30:38,23:27:45,23:27:58,,,23:28:24,23:29:21,male,20-39,680,13,0,57
24,23:19:19,23:20:33,,,,,,,male,60+,74,0,0,0
25,23:19:19,23:33:38,,,,,,,male,60+,859,0,0,0
26,23:19:19,23:25:39,23:19:23,,,,,,male,60+,380,0,0,0
27,23:19:20,23:22:17,,,,,23:20:04,,male,60+,177,0,0,0
28,23:19:20,23:22:02,,,,,,,male,60+,162,0,0,0
29,23:19:21,23:47:56,23:43:20,23:45:05,,,23:45:42,23:46:57,male,60+,1715,105,0,75
30,23:19:21,23:44:08,,,,,23:43:43,23:30:07,male,60+,1487,0,0,0
31,23:19:21,23:21:11,,,,,,,male,0-19,110,0,0,0
32,23:19:22,23:21:14,,,,,23:20:18,23:20:55,female,20-39,112,0,0,37
33,23:19:22,23:21:27,,,,,,,male,60+,125,0,0,0
34,23:19:22,23:25:00,,,,,,,female,60+,338,0,0,0
35,23:19:23,23:20:51,23:19:23,23:20:11,,,,,male,20-39,88,48,0,0
36,23:19:23,23:20:23,,,,,,,male,60+,60,0,0,0
40,23:19:24,23:19:57,,,,,,,male,60+,33,0,0,0
42,23:19:25,23:19:50,23:19:25,,,,,,female,0-19,25,0,0,0
43,23:19:25,23:20:17,23:19:51,,,,,,female,60+,52,0,0,0
44,23:19:26,23:24:43,,,,,,,male,20-39,317,0,0,0
45,23:19:26,23:22:35,23:21:47,23:22:06,,,23:22:13,,male,20-39,189,19,0,0
46,23:19:27,23:23:18,23:19:27,23:20:20,23:20:41,,,,male,20-39,231,53,0,0
49,23:19:28,23:20:44,,,,,23:20:18,23:20:14,female,20-39,76,0,0,0
50,23:19:29,23:22:45,23:20:30,23:20:10,,,,,male,60+,196,0,0,0
51,23:19:30,23:20:01,,,,,,,male,20-39,31,0,0,0
55,23:19:31,23:22:19,,23:21:09,23:19:31,,,,male,60+,168,84069,0,0
59,23:19:33,23:23:14,,,23:20:53,23:21:56,23:22:22,,male,60+,221,0,63,0
60,23:19:34,23:31:45,,,23:22:00,23:29:10,,,female,60+,731,0,430,0
65,23:19:36,23:21:59,,,23:20:13,23:21:27,,,female,60+,143,0,74,0
66,23:19:38,23:21:55,,,23:21:35,23:21:11,,,female,20-39,137,0,0,0
69,23:19:39,23:20:48,,,,,,,male,60+,69,0,0,0
73,23:19:41,23:20:14,23:19:41,,,,,,female,60+,33,0,0,0
75,23:19:43,23:27:12,23:20:12,,,,,,male,60+,449,0,0,0
77,23:19:45,23:22:15,,,,,23:20:38,23:21:47,male,60+,150,0,0,69
78,23:19:46,23:30:46,,,,,,,male,60+,660,0,0,0
79,23:19:49,23:20:11,,,,,,,male,20-39,22,0,0,0
83,23:19:53,23:26:24,23:20:00,23:22:07,,,,,male,60+,391,127,0,0
85,23:19:55,23:20:36,,,,,,,male,60+,41,0,0,0
90,23:19:58,23:20:14,,,,,,,female,60+,16,0,0,0
97,23:20:08,23:24:04,23:20:23,23:21:11,23:23:23,23:23:43,,,male,20-39,236,48,20,0
102,23:20:15,23:23:20,,,23:23:01,23:22:25,,,female,60+,185,0,0,0
103,23:20:17,23:22:06,23:21:11,23:20:44,,,23:20:18,23:20:40,male,60+,109,0,0,22
104,23:20:19,23:20:37,,,,,23:20:19,,male,60+,18,0,0,0
107,23:20:23,23:25:06,,,23:24:22,23:24:21,23:22:07,23:22:07,female,60+,283,0,0,0
113,23:20:31,23:21:45,,,,,,,male,20-39,74,0,0,0
114,23:20:32,23:21:48,,,,,,,male,60+,76,0,0,0
117,23:20:34,23:21:10,,,,,,,male,60+,36,0,0,0
121,23:20:46,23:25:16,,,23:21:39,,23:24:56,23:24:09,female,60+,270,0,0,0
122,23:20:47,23:22:05,,,,,,,male,60+,78,0,0,0
123,23:20:52,23:22:12,23:20:52,,,,,,male,60+,80,0,0,0
125,23:20:54,23:21:11,,,,,,,male,60+,17,0,0,0
132,23:21:03,23:21:57,23:21:28,,,,,,female,60+,54,0,0,0
138,23:21:08,23:28:48,,,23:27:28,23:27:48,,,female,60+,460,0,20,0
139,23:21:10,23:21:35,,,,,,,female,60+,25,0,0,0
140,23:21:13,23:22:15,,,,,,,male,60+,62,0,0,0
141,23:21:14,23:21:40,23:21:15,,,,,,male,60+,26,0,0,0
144,23:21:16,23:21:46,,,,,,,male,60+,30,0,0,0
148,23:21:18,23:22:11,,,23:21:18,,,,male,60+,53,0,0,0
150,23:21:21,23:22:14,,,,,23:21:24,23:21:26,male,20-39,53,0,0,2
153,23:21:22,23:25:05,,,,,,,male,60+,223,0,0,0
156,23:21:24,23:21:45,,,,,,,male,60+,21,0,0,0
157,23:21:25,23:21:47,,,,,23:21:26,,male,60+,22,0,0,0
160,23:21:29,23:22:06,23:21:30,,,,,,male,20-39,37,0,0,0
161,23:21:30,23:25:48,,,,,,,male,60+,258,0,0,0
164,23:21:32,23:21:53,,,,,,,female,60+,21,0,0,0
168,23:21:38,23:31:27,,,,,23:30:58,,male,60+,589,0,0,0
172,23:21:42,23:22:18,,,,,,,male,20-39,36,0,0,0
175,23:21:44,23:24:55,23:21:46,23:22:52,,,,,male,60+,191,66,0,0
178,23:21:47,23:22:07,,,,,,,female,20-39,20,0,0,0
180,23:21:50,23:23:59,,,,,,,male,60+,129,0,0,0
183,23:21:56,23:27:10,,,,,23:25:43,23:25:45,male,60+,314,0,0,2
184,23:21:58,23:28:15,,,,,23:27:52,,female,60+,377,0,0,0
185,23:22:00,23:22:25,,,,,23:22:00,,male,60+,25,0,0,0
187,23:22:01,23:25:45,,,23:23:25,23:23:37,23:24:41,23:25:16,male,60+,224,0,12,35
191,23:22:09,23:23:00,23:22:10,23:22:13,,,,,female,60+,51,3,0,0
192,23:22:11,23:22:32,,,,,,,male,20-39,21,0,0,0
197,23:22:16,23:25:45,23:24:43,23:24:44,,,,,male,60+,209,1,0,0
198,23:22:17,23:22:42,23:22:24,,,,,,female,60+,25,0,0,0
199,23:22:20,23:23:10,,,,,,,male,60+,50,0,0,0
202,23:22:22,23:28:44,23:28:24,,,,23:24:58,23:25:09,female,60+,382,0,0,11
203,23:22:23,23:22:42,,,,,,,male,60+,19,0,0,0
204,23:22:24,23:26:21,,,,,23:23:06,23:24:59,female,60+,237,0,0,113
206,23:22:27,23:23:01,,,,,,,male,60+,34,0,0,0
208,23:22:28,23:23:24,23:22:57,23:23:00,,,,,female,60+,56,3,0,0
214,23:22:34,23:23:56,,,,,,,male,40-59,82,0,0,0
216,23:22:36,23:30:14,,,23:29:36,23:29:53,23:28:45,23:29:11,male,60+,458,0,17,26
218,23:22:38,23:22:57,,,,,,,male,60+,19,0,0,0
224,23:22:44,23:23:01,,,,,,,male,20-39,17,0,0,0
226,23:22:49,23:23:14,,,,,23:22:49,,male,20-39,25,0,0,0
228,23:22:55,23:23:14,,,23:22:55,,,,male,60+,19,0,0,0
230,23:22:56,23:23:36,,,23:22:56,,,,male,60+,40,0,0,0
237,23:23:02,23:24:33,23:23:32,23:23:33,,,23:24:11,,male,60+,91,1,0,0
239,23:23:04,23:24:13,,,23:23:04,,,,male,20-39,69,0,0,0
241,23:23:07,23:30:21,,,,,,,male,0-19,434,0,0,0
242,23:23:08,23:28:14,23:26:31,23:26:29,,,,,male,20-39,306,0,0,0
247,23:23:21,23:23:49,,,,,,,male,60+,28,0,0,0
248,23:23:23,23:23:46,,,,,,,male,60+,23,0,0,0
253,23:23:28,23:24:40,,,,,,,male,20-39,72,0,0,0
255,23:23:31,23:24:14,,,,,23:23:31,,male,60+,43,0,0,0
256,23:23:35,23:25:00,23:24:39,23:24:18,,,,,female,20-39,85,0,0,0
262,23:23:40,23:26:11,,,23:24:16,23:24:47,,,female,60+,151,0,31,0
265,23:23:43,23:35:43,,,23:30:26,23:30:59,23:32:45,23:34:47,female,60+,720,0,33,122
272,23:23:49,23:26:50,23:26:28,23:26:04,,,,,male,60+,181,0,0,0
273,23:23:49,23:24:55,23:24:07,23:24:11,,,,,male,60+,66,4,0,0
277,23:23:53,23:24:38,,,23:24:16,,,,male,20-39,45,0,0,0
278,23:23:55,23:24:46,,,,,,,male,60+,51,0,0,0
279,23:23:57,23:25:10,,,,,,,male,20-39,73,0,0,0
280,23:23:58,23:24:54,,,,,,,male,0-19,56,0,0,0
281,23:24:01,23:24:38,23:24:01,,,,,,female,20-39,37,0,0,0
282,23:24:06,23:27:13,,,,,23:25:52,23:25:53,male,60+,187,0,0,1
287,23:24:12,23:24:44,,,,,,,male,20-39,32,0,0,0
292,23:24:17,23:24:49,,,23:24:18,,,,male,60+,32,0,0,0
295,23:24:19,23:24:40,,,,,,,male,60+,21,0,0,0
296,23:24:20,23:24:58,,,,,23:24:20,,male,60+,38,0,0,0
297,23:24:21,23:27:30,,,23:24:21,23:27:09,,,male,20-39,189,0,168,0
302,23:24:26,23:30:06,,,23:27:46,23:28:53,,,male,60+,340,0,67,0
303,23:24:29,23:24:53,,,,,,,male,60+,24,0,0,0
304,23:24:31,23:24:49,,,,,,,male,60+,18,0,0,0
306,23:24:37,23:27:00,,,23:25:32,23:25:45,,,male,60+,143,0,13,0
307,23:24:46,23:29:29,23:27:50,23:27:45,,,,,male,0-19,283,0,0,0
309,23:24:48,23:25:09,,,,,,,male,60+,21,0,0,0
310,23:24:51,23:28:55,,,,,23:24:52,,male,0-19,244,0,0,0
312,23:24:57,23:26:24,,,,,,,male,20-39,87,0,0,0
314,23:25:02,23:32:15,,,23:29:59,23:30:02,,,female,60+,433,0,3,0
316,23:25:04,23:32:06,,,23:31:01,23:31:02,,,female,60+,422,0,1,0
317,23:25:05,23:25:45,,,,,,,male,60+,40,0,0,0
322,23:25:12,23:26:26,,,,,,,male,60+,74,0,0,0
323,23:25:14,23:26:46,23:26:01,23:26:26,23:25:14,23:25:36,,,female,60+,92,25,22,0
324,23:25:15,23:31:38,,,,,,,male,60+,383,0,0,0
329,23:25:19,23:28:56,23:25:53,,,,,,male,60+,217,0,0,0
330,23:25:20,23:26:26,23:25:21,,,,,,female,20-39,66,0,0,0
334,23:25:23,23:33:46,23:33:22,23:33:22,23:27:08,23:27:33,,,female,60+,503,0,25,0
337,23:25:26,23:25:44,,,,,,,male,60+,18,0,0,0
343,23:25:32,23:29:10,23:25:38,23:27:51,,,23:28:13,23:28:53,female,20-39,218,133,0,40
346,23:25:33,23:26:11,,,,,,,male,20-39,38,0,0,0
347,23:25:34,23:25:53,,,,,,,male,60+,19,0,0,0
